# X(km) Y(km) gz_pred(mGal)
45.070000 36.100000 1.469229
45.070000 37.580000 1.279043
45.070000 39.060000 1.111167
45.070000 40.540000 0.970073
45.070000 42.030000 0.851516
45.070000 43.510000 0.749346
46.560000 0.500000 0.630700
46.560000 1.980000 0.718024
46.560000 3.470000 0.809766
46.560000 4.950000 0.921962
46.560000 6.430000 1.042868
46.560000 7.920000 1.190247
46.560000 9.400000 1.350249
46.560000 10.880000 1.538897
46.560000 12.370000 1.747518
46.560000 13.850000 1.972189
46.560000 15.330000 2.217763
46.560000 16.810000 2.460933
46.560000 18.300000 2.688263
46.560000 19.780000 2.881142
46.560000 21.260000 2.996213
46.560000 22.750000 3.033389
46.560000 24.230000 2.965031
46.560000 25.710000 2.821788
46.560000 27.200000 2.614307
46.560000 28.680000 2.380880
46.560000 30.160000 2.134099
46.560000 31.650000 1.896961
46.560000 33.130000 1.670623
46.560000 34.610000 1.468914
46.560000 36.100000 1.295433
46.560000 37.580000 1.139096
46.560000 39.060000 0.997291
46.560000 40.540000 0.878710
46.560000 42.030000 0.779028
46.560000 43.510000 0.691431
48.040000 0.500000 0.581184
48.040000 1.980000 0.653609
48.040000 3.470000 0.732495
48.040000 4.950000 0.826343
48.040000 6.430000 0.929740
48.040000 7.920000 1.050101
48.040000 9.400000 1.180153
48.040000 10.880000 1.330142
48.040000 12.370000 1.494805
48.040000 13.850000 1.668608
48.040000 15.330000 1.848287
48.040000 16.810000 2.022647
48.040000 18.300000 2.181735
48.040000 19.780000 2.311581
48.040000 21.260000 2.392179
48.040000 22.750000 2.415312
48.040000 24.230000 2.371583
48.040000 25.710000 2.273831
48.040000 27.200000 2.130914
48.040000 28.680000 1.965701
48.040000 30.160000 1.786634
48.040000 31.650000 1.608768
48.040000 33.130000 1.437939
48.040000 34.610000 1.279955
48.040000 36.100000 1.139206
48.040000 37.580000 1.009553
48.040000 39.060000 0.892496
48.040000 40.540000 0.792553
48.040000 42.030000 0.706973
48.040000 43.510000 0.630915
49.530000 0.500000 0.538172
49.530000 1.980000 0.600869
49.530000 3.470000 0.664298
49.530000 4.950000 0.743783
49.530000 6.430000 0.830366
49.530000 7.920000 0.930514
49.530000 9.400000 1.031541
49.530000 10.880000 1.149765
49.530000 12.370000 1.276293
49.530000 13.850000 1.409751
49.530000 15.330000 1.540738
49.530000 16.810000 1.667942
49.530000 18.300000 1.780423
49.530000 19.780000 1.869465
49.530000 21.260000 1.926635
49.530000 22.750000 1.940600
49.530000 24.230000 1.912644
49.530000 25.710000 1.846942
49.530000 27.200000 1.746126
49.530000 28.680000 1.629907
49.530000 30.160000 1.496612
49.530000 31.650000 1.362201
49.530000 33.130000 1.232717
49.530000 34.610000 1.108161
49.530000 36.100000 0.997620
49.530000 37.580000 0.892432
49.530000 39.060000 0.799076
49.530000 40.540000 0.718115
49.530000 42.030000 0.643048
49.530000 43.510000 0.579459
51.010000 0.500000 0.491976
51.010000 1.980000 0.539946
51.010000 3.470000 0.599986
51.010000 4.950000 0.668970
51.010000 6.430000 0.740123
51.010000 7.920000 0.818591
51.010000 9.400000 0.902113
51.010000 10.880000 0.994392
51.010000 12.370000 1.091412
51.010000 13.850000 1.191613
51.010000 15.330000 1.289500
51.010000 16.810000 1.382427
51.010000 18.300000 1.467973
51.010000 19.780000 1.531193
51.010000 21.260000 1.571514
51.010000 22.750000 1.578522
51.010000 24.230000 1.559228
51.010000 25.710000 1.511652
51.010000 27.200000 1.440578
51.010000 28.680000 1.355142
51.010000 30.160000 1.259321
51.010000 31.650000 1.159590
51.010000 33.130000 1.058596
51.010000 34.610000 0.961544
51.010000 36.100000 0.873002
51.010000 37.580000 0.787377
51.010000 39.060000 0.710284
51.010000 40.540000 0.639739
51.010000 42.030000 0.578313
51.010000 43.510000 0.521988
52.500000 0.500000 0.452274
52.500000 1.980000 0.487811
52.500000 3.470000 0.541477
52.500000 4.950000 0.601322
52.500000 6.430000 0.658947
52.500000 7.920000 0.721391
52.500000 9.400000 0.788802
52.500000 10.880000 0.862195
52.500000 12.370000 0.939540
52.500000 13.850000 1.018688
52.500000 15.330000 1.092238
52.500000 16.810000 1.157815
52.500000 18.300000 1.221368
52.500000 19.780000 1.260516
52.500000 21.260000 1.289060
52.500000 22.750000 1.289392
52.500000 24.230000 1.281179
52.500000 25.710000 1.249660
52.500000 27.200000 1.200730
52.500000 28.680000 1.137075
52.500000 30.160000 1.063578
52.500000 31.650000 0.988094
52.500000 33.130000 0.911300
52.500000 34.610000 0.837691
52.500000 36.100000 0.770269
52.500000 37.580000 0.700575
52.500000 39.060000 0.639723
52.500000 40.540000 0.579217
52.500000 42.030000 0.530602
52.500000 43.510000 0.480223
