# X(km) Y(km) gz_pred(mGal)
10.900000 1.980000 0.823620
10.900000 3.470000 0.940299
10.900000 4.950000 1.082627
10.900000 6.430000 1.244675
10.900000 7.920000 1.440292
10.900000 9.400000 1.669480
10.900000 10.880000 1.939610
10.900000 12.370000 2.248839
10.900000 13.850000 2.600210
10.900000 15.330000 2.994396
10.900000 16.810000 3.407896
10.900000 18.300000 3.812890
10.900000 19.780000 4.159505
10.900000 21.260000 4.388309
10.900000 22.750000 4.453001
10.900000 24.230000 4.329047
10.900000 25.710000 4.054758
10.900000 27.200000 3.682088
10.900000 28.680000 3.269477
10.900000 30.160000 2.862515
10.900000 31.650000 2.480052
10.900000 33.130000 2.142231
10.900000 34.610000 1.844119
10.900000 36.100000 1.591084
10.900000 37.580000 1.373518
10.900000 39.060000 1.186473
10.900000 40.540000 1.032400
10.900000 42.030000 0.901905
10.900000 43.510000 0.791314
12.390000 0.500000 0.777404
12.390000 1.980000 0.893326
12.390000 3.470000 1.026965
12.390000 4.950000 1.192616
12.390000 6.430000 1.381245
12.390000 7.920000 1.613292
12.390000 9.400000 1.883893
12.390000 10.880000 2.212370
12.390000 12.370000 2.600555
12.390000 13.850000 3.048908
12.390000 15.330000 3.567284
12.390000 16.810000 4.121784
12.390000 18.300000 4.681318
12.390000 19.780000 5.166350
12.390000 21.260000 5.499322
12.390000 22.750000 5.588237
12.390000 24.230000 5.413551
12.390000 25.710000 5.016388
12.390000 27.200000 4.498581
12.390000 28.680000 3.931286
12.390000 30.160000 3.392410
12.390000 31.650000 2.895405
12.390000 33.130000 2.468577
12.390000 34.610000 2.098102
12.390000 36.100000 1.790007
12.390000 37.580000 1.529025
12.390000 39.060000 1.309581
12.390000 40.540000 1.129107
12.390000 42.030000 0.977920
12.390000 43.510000 0.852169
13.870000 0.500000 0.832235
13.870000 1.980000 0.960407
13.870000 3.470000 1.113371
13.870000 4.950000 1.300165
13.870000 6.430000 1.518808
13.870000 7.920000 1.788067
13.870000 9.400000 2.110588
13.870000 10.880000 2.507087
13.870000 12.370000 2.985929
13.870000 13.850000 3.549756
13.870000 15.330000 4.208361
13.870000 16.810000 4.933702
13.870000 18.300000 5.685298
13.870000 19.780000 6.349664
13.870000 21.260000 6.808229
13.870000 22.750000 6.935731
13.870000 24.230000 6.690451
13.870000 25.710000 6.148520
13.870000 27.200000 5.439617
13.870000 28.680000 4.686104
13.870000 30.160000 3.982018
13.870000 31.650000 3.351449
13.870000 33.130000 2.820798
13.870000 34.610000 2.370431
13.870000 36.100000 1.999749
13.870000 37.580000 1.691753
13.870000 39.060000 1.439179
13.870000 40.540000 1.231849
13.870000 42.030000 1.058838
13.870000 43.510000 0.918563
15.360000 0.500000 0.887497
15.360000 1.980000 1.031970
15.360000 3.470000 1.202783
15.360000 4.950000 1.414332
15.360000 6.430000 1.661101
15.360000 7.920000 1.972090
15.360000 9.400000 2.349149
15.360000 10.880000 2.821086
15.360000 12.370000 3.392693
15.360000 13.850000 4.078782
15.360000 15.330000 4.899776
15.360000 16.810000 5.821553
15.360000 18.300000 6.796551
15.360000 19.780000 7.667576
15.360000 21.260000 8.276478
15.360000 22.750000 8.438523
15.360000 24.230000 8.119031
15.360000 25.710000 7.397122
15.360000 27.200000 6.473582
15.360000 28.680000 5.499873
15.360000 30.160000 4.611484
15.360000 31.650000 3.826496
15.360000 33.130000 3.185725
15.360000 34.610000 2.644607
15.360000 36.100000 2.213786
15.360000 37.580000 1.856141
15.360000 39.060000 1.571486
15.360000 40.540000 1.337101
15.360000 42.030000 1.138822
15.360000 43.510000 0.980978
16.840000 0.500000 0.940990
16.840000 1.980000 1.097461
16.840000 3.470000 1.285562
16.840000 4.950000 1.517397
16.840000 6.430000 1.797418
16.840000 7.920000 2.149059
16.840000 9.400000 2.581911
16.840000 10.880000 3.124926
16.840000 12.370000 3.801302
16.840000 13.850000 4.620514
16.840000 15.330000 5.606209
16.840000 16.810000 6.737975
16.840000 18.300000 7.952457
16.840000 19.780000 9.055068
16.840000 21.260000 9.828603
16.840000 22.750000 10.048196
16.840000 24.230000 9.625583
16.840000 25.710000 8.717175
16.840000 27.200000 7.550390
16.840000 28.680000 6.349161
16.840000 30.160000 5.263480
16.840000 31.650000 4.327226
16.840000 33.130000 3.561067
16.840000 34.610000 2.931601
16.840000 36.100000 2.429804
16.840000 37.580000 2.022731
16.840000 39.060000 1.698553
16.840000 40.540000 1.433957
16.840000 42.030000 1.216344
16.840000 43.510000 1.042685
18.330000 0.500000 0.991119
18.330000 1.980000 1.162121
18.330000 3.470000 1.365721
18.330000 4.950000 1.620248
18.330000 6.430000 1.929648
18.330000 7.920000 2.322139
18.330000 9.400000 2.807490
18.330000 10.880000 3.420173
18.330000 12.370000 4.197452
18.330000 13.850000 5.146164
18.330000 15.330000 6.302608
18.330000 16.810000 7.648950
18.330000 18.300000 9.099005
18.330000 19.780000 10.427629
18.330000 21.260000 11.369365
18.330000 22.750000 11.632541
18.330000 24.230000 11.117822
18.330000 25.710000 10.008609
18.330000 27.200000 8.612663
18.330000 28.680000 7.179407
18.330000 30.160000 5.899007
18.330000 31.650000 4.807556
18.330000 33.130000 3.919116
18.330000 34.610000 3.197335
18.330000 36.100000 2.633597
18.330000 37.580000 2.177309
18.330000 39.060000 1.819529
18.330000 40.540000 1.526710
18.330000 42.030000 1.289905
18.330000 43.510000 1.099795
19.810000 0.500000 1.037807
19.810000 1.980000 1.215928
19.810000 3.470000 1.436185
19.810000 4.950000 1.710541
19.810000 6.430000 2.050230
19.810000 7.920000 2.481220
19.810000 9.400000 3.016513
19.810000 10.880000 3.697145
19.810000 12.370000 4.565272
19.810000 13.850000 5.636312
19.810000 15.330000 6.945526
19.810000 16.810000 8.484807
19.810000 18.300000 10.157302
19.810000 19.780000 11.697515
19.810000 21.260000 12.780338
19.810000 22.750000 13.093622
19.810000 24.230000 12.492650
19.810000 25.710000 11.222852
19.810000 27.200000 9.598955
19.810000 28.680000 7.955779
19.810000 30.160000 6.488142
19.810000 31.650000 5.254787
19.810000 33.130000 4.255377
19.810000 34.610000 3.456579
19.810000 36.100000 2.825654
19.810000 37.580000 2.325461
19.810000 39.060000 1.932451
19.810000 40.540000 1.613806
19.810000 42.030000 1.357616
19.810000 43.510000 1.150968
21.300000 0.500000 1.075118
21.300000 1.980000 1.261287
21.300000 3.470000 1.498163
21.300000 4.950000 1.793632
21.300000 6.430000 2.156843
21.300000 7.920000 2.622371
21.300000 9.400000 3.199951
21.300000 10.880000 3.941582
21.300000 12.370000 4.890377
21.300000 13.850000 6.071134
